"Journal Data Filtered By:  Selected Categories: PLANT SCIENCES Selected Editions: SCIE Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"Willdenowia","WILLDENOWIA","0511-9618","N/A","PLANT SCIENCES - SCIE","742","1.46","Q3","0.35","100"%," 159/238 ","1.418","1.333","0.609"," 180/258 ","30.43","0.001","0.122","0.38","33.4","Q3","23","100"%,"11.6","15.9","23",
"PLANT PROTECTION SCIENCE","PLANT PROTECT SCI","1212-2580","1805-9341","PLANT SCIENCES - SCIE","735","1.414","Q3","0.45","99.07"%," 162/238 ","1.862","1.357","0.243"," 144/258 ","44.38","0","0.099","0.279","32.14","Q3","37","94.59"%,"6.5","11","35",
"WEED BIOLOGY AND MANAGEMENT","WEED BIOL MANAG","1444-6162","1445-6664","PLANT SCIENCES - SCIE","706","1.815","Q3","0.33","10.87"%," 138/238 ","1.617","1.778","0.263"," 184/258 ","28.88","0","0.049","0.297","42.23","Q3","19","94.74"%,"12.4","13.1","18",
"Botanical Sciences","BOT SCI","2007-4298","2007-4476","PLANT SCIENCES - SCIE","701","0.94","Q4","0.26","91.89"%," 198/238 ","1.364","0.838","0.382"," 209/258 ","19.19","0.001","0.145","0.265","17.02","Q3","68","92.65"%,"5.5","12.8","63",
"PHYTOCOENOLOGIA","PHYTOCOENOLOGIA","0340-269X","2363-7153","PLANT SCIENCES - SCIE","679","1.314","Q3","0.45","0"%," 175/238 ","2.085","1.286","0.125"," 144/258 ","44.38","0","0.105","0.489","26.68","Q2","8","100"%,"12.9","14.7","8",
"Phytobiomes Journal","PHYTOBIOMES J","N/A","2471-2906","PLANT SCIENCES - SCIE","678","5.19","Q1","1.05","99.04"%," 32/238 ","5.683","4.841","2.049"," 38/258 ","85.47","0.001","0.221","1.045","86.76","Q1","41","90.24"%,"2.6","6.7","37",
"Plants People Planet","PLANTS PEOPLE PLANET","N/A","2572-2611","PLANT SCIENCES - SCIE","678","5.695","Q1","1.08","96.11"%," 25/238 ","5.695","5.147","1.588"," 35/258 ","86.63","0.001","0.242","1.254","89.71","Q1","85","85.88"%,"1.6","7.5","73",
"BOTHALIA","BOTHALIA","0006-8241","2311-9284","PLANT SCIENCES - SCIE","659","0.909","Q4","0.21","92.75"%," 202/238 ","1.877","0.864","1.2"," 220/258 ","14.92","0","0.093","0.376","15.34","Q3","25","100"%,"12.8","12.1","25",
"NOVON","NOVON","1055-3177","1945-6174","PLANT SCIENCES - SCIE","655","0.53","Q4","0.16","0"%," 223/238 ","0.525","0.485","0.125"," 237/258 ","8.33","0","0.058","0.157","6.51","Q4","24","100"%,"14.7","13.3","24",
"JOURNAL OF AQUATIC PLANT MANAGEMENT","J AQUAT PLANT MANAGE","0146-6623","0146-6623","PLANT SCIENCES - SCIE","654","0.472","Q4","0.26","0"%," 227/238 ","1.058","0.361","0.556"," 209/258 ","19.19","0","0.032","0.185","4.83","Q4","9","100"%,"17.3","11.6","9",
"GM Crops & Food-Biotechnology in Agriculture and the Food Chain","GM CROPS FOOD","2164-5698","2164-5701","PLANT SCIENCES - SCIE","647","3.118","Q2","0.77","70.27"%," 80/238 ","4.1","2.765","1.825"," 88/258 ","66.09","0","0.1","0.706","66.6","Q2","40","87.5"%,"4.9","8.3","35",
"ISRAEL JOURNAL OF PLANT SCIENCES","ISR J PLANT SCI","0792-9978","2223-8980","PLANT SCIENCES - SCIE","637","0.675","Q4","0.21","15.38"%," 216/238 ","1.103","0.675","0.2"," 220/258 ","14.92","0","0.047","0.185","9.45","Q4","25","84"%,"13.4","9.1","21",
"Acta Botanica Mexicana","ACTA BOT MEX","0187-7151","N/A","PLANT SCIENCES - SCIE","617","1","Q4","0.21","97.45"%," 197/238 ","1","0.784","0.2"," 220/258 ","14.92","0","0.071","0.182","17.44","Q4","60","98.33"%,"9.7","13.1","59",
"CRYPTOGAMIE ALGOLOGIE","CRYPTOGAMIE ALGOL","0181-1568","1776-0984","PLANT SCIENCES - SCIE","608","1.217","Q4","0.44","0"%," 181/238 ","1.547","1.13","0.467"," 149/258 ","42.44","0","0.057","0.329","24.16","Q3","15","100"%,"9.8","13.2","15",
"Theoretical and Experimental Plant Physiology","THEOR EXP PLANT PHYS","2197-0025","2197-0025","PLANT SCIENCES - SCIE","598","2.656","Q2","0.55","8.25"%," 99/238 ","2.633","2.18","0.556"," 122/258 ","52.91","0","0.102","0.36","58.61","Q3","36","97.22"%,"4.9","9.8","35",
"Plant Ecology and Evolution","PLANT ECOL EVOL","2032-3913","2032-3921","PLANT SCIENCES - SCIE","579","1.345","Q3","0.34","100"%," 170/238 ","1.372","1.287","0.39"," 182/258 ","29.65","0.001","0.136","0.351","28.78","Q3","41","100"%,"6.2","14","41",
"Alpine Botany","ALPINE BOT","1664-2201","1664-221X","PLANT SCIENCES - SCIE","571","2.742","Q2","0.68","35.48"%," 92/238 ","3.823","2.355","0.806"," 104/258 ","59.88","0.001","0.124","0.775","61.55","Q1","31","87.1"%,"5.5","9.6","27",
"Fottea","FOTTEA","1802-5439","N/A","PLANT SCIENCES - SCIE","568","2.429","Q2","0.8","98.15"%," 110/238 ","2.212","1.943","0.316"," 79/258 ","69.57","0","0.105","0.524","53.99","Q2","19","89.47"%,"7.8","11.7","17",
"Comparative Cytogenetics","COMP CYTOGENET","1993-0771","1993-078X","PLANT SCIENCES - SCIE","553","1.182","Q4","0.49","97.96"%," 183/238 ","1.558","0.909","0.25"," 136/258 ","47.48","0.001","0.128","0.319","23.32","Q3","32","90.63"%,"5.5","15.8","29",
"AMERICAN FERN JOURNAL","AM FERN J","0002-8444","1938-422X","PLANT SCIENCES - SCIE","544","0.9","Q4","0.23","0"%," 205/238 ","0.919","0.867","0.125"," 217/258 ","16.09","0","0.041","0.273","14.08","Q3","16","100"%,"20.9","13.7","16",
"Tropical Plant Biology","TROP PLANT BIOL","1935-9756","1935-9764","PLANT SCIENCES - SCIE","542","1.508","Q3","0.39","7.53"%," 156/238 ","1.61","1.476","0.667"," 166/258 ","35.85","0","0.06","0.249","34.66","Q4","30","93.33"%,"8.5","9.3","28",
"PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY","PHYTON-INT J EXP BOT","0031-9457","1851-5657","PLANT SCIENCES - SCIE","537","1.407","Q3","0.31","98.76"%," 163/238 ","0.996","1.254","0.407"," 190/258 ","26.55","0","0.063","0.129","31.72","Q4","123","85.37"%,"5","8.9","105",
"ACTA BOTANICA CROATICA","ACTA BOT CROAT","0365-0588","1847-8476","PLANT SCIENCES - SCIE","526","1.02","Q4","0.33","98.72"%," 195/238 ","1.193","0.98","0.448"," 184/258 ","28.88","0","0.052","0.175","18.28","Q4","29","100"%,"8.1","11.5","29",
"BANGLADESH JOURNAL OF BOTANY","BANGL J BOT","0253-5416","2079-9926","PLANT SCIENCES - SCIE","523","0.339","Q4","0.08","27.86"%," 233/238 ","0.34","0.317","0.027"," 255/258 ","1.36","0","0.069","0.046","2.31","Q4","149","100"%,"6.2","11.9","149",
"TAIWANIA","TAIWANIA","0372-333X","N/A","PLANT SCIENCES - SCIE","523","0.816","Q4","0.28","0"%," 207/238 ","0.781","0.669","0.171"," 202/258 ","21.9","0.001","0.108","0.191","13.24","Q4","70","100"%,"7.7","12.2","70",
"CALDASIA","CALDASIA","0366-5232","2357-3759","PLANT SCIENCES - SCIE","517","0.487","Q4","0.2","98.31"%," 226/238 ","0.601","0.474","0.333"," 226/258 ","12.6","0","0.038","0.118","5.25","Q4","42","100"%,"13","13.3","42",
"ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA","ACTA BIOL CRACOV BOT","0001-5296","1898-0295","PLANT SCIENCES - SCIE","505","1.103","Q4","0.31","0"%," 188/238 ","1.063","1","0"," 190/258 ","26.55","0","0.021","0.129","21.22","Q4","8","100"%,"11.7","11.2","8",
"Czech Journal of Genetics and Plant Breeding","CZECH J GENET PLANT","1212-1975","1805-9325","PLANT SCIENCES - SCIE","462","1.304","Q3","0.33","100"%," 177/238 ","1.277","1.283","0.25"," 184/258 ","28.88","0","0.042","0.173","25.84","Q4","28","96.43"%,"9.2","12.3","27",
"Boletin de la Sociedad Argentina de Botanica","B SOC ARGENT BOT","1851-2372","1851-2372","PLANT SCIENCES - SCIE","456","0.41","Q4","0.1","99.07"%," 229/238 ","0.484","0.349","0.04"," 251/258 ","2.91","0","0.057","0.108","3.99","Q4","25","100"%,"11","16.2","25",
"PHYTON-ANNALES REI BOTANICAE","PHYTON-ANN REI BOT A","0079-2047","N/A","PLANT SCIENCES - SCIE","452","0.36","Q4","0.15","0"%," 232/238 ","0.618","0.36","N/A"," 243/258 ","6.01","0","0.024","0.153","2.73","Q4","N/A","N/A","18.9","N/A","N/A",
"ACTA BIOLOGICA COLOMBIANA","ACTA BIOL COLOMB","1900-1649","1900-1649","PLANT SCIENCES - SCIE","450","0.676","Q4","0.19","99.35"%," 215/238 ","0.654","0.618","0.176"," 228/258 ","11.82","0","0.064","0.131","9.87","Q4","51","88.24"%,"6.5","10.7","45",
"CRYPTOGAMIE BRYOLOGIE","CRYPTOGAMIE BRYOL","1290-0796","1776-0992","PLANT SCIENCES - SCIE","435","1.341","Q3","0.28","0"%," 171/238 ","1.097","1.244","0.263"," 202/258 ","21.9","0","0.089","0.301","28.36","Q3","19","100"%,"8.5","20.5","19",
"CASTANEA","CASTANEA","0008-7475","1938-4386","PLANT SCIENCES - SCIE","409","0.255","Q4","0.1","0"%," 238/238 ","0.535","0.213","0.045"," 251/258 ","2.91","0","0.025","0.123","0.21","Q4","22","95.45"%,"19.1","14.5","21",
"Botany Letters","BOT LETT","2381-8107","2381-8115","PLANT SCIENCES - SCIE","388","1.566","Q3","0.49","3.57"%," 154/238 ","1.656","1.495","0.512"," 136/258 ","47.48","0.001","0.171","0.381","35.5","Q3","41","100"%,"3.2","12.7","41",
"Plant Phenomics","PLANT PHENOMICS","2643-6515","2643-6515","PLANT SCIENCES - SCIE","379","6.961","Q1","1.55","92.59"%," 18/238 ","6.961","6.255","0.8"," 17/258 ","93.6","0.001","0.133","1.28","92.65","Q1","30","93.33"%,"1.9","5.5","28",
"GAYANA BOTANICA","GAYANA BOT","0016-5301","0717-6643","PLANT SCIENCES - SCIE","369","0.439","Q4","0.29","48.08"%," 228/238 ","0.814","0.439","0"," 200/258 ","22.67","0","0.057","0.193","4.41","Q4","11","90.91"%,"8.8","14.3","10",
"RHODORA","RHODORA","0035-4902","1938-3401","PLANT SCIENCES - SCIE","357","0.323","Q4","0.11","3.23"%," 235/238 ","0.271","0.323","N/A"," 250/258 ","3.29","0","0.012","0.063","1.47","Q4","N/A","N/A","34.9","N/A","N/A",
"HERZOGIA","HERZOGIA","0018-0971","N/A","PLANT SCIENCES - SCIE","356","0.613","Q4","0.21","0"%," 219/238 ","0.642","0.307","0.027"," 220/258 ","14.92","0","0.053","0.107","8.19","Q4","37","100"%,"6.8","13.4","37",
"ANALES DEL JARDIN BOTANICO DE MADRID","AN JARDIN BOT MADRID","0211-1322","1988-3196","PLANT SCIENCES - SCIE","347","0.815","Q4","0.16","95.12"%," 208/238 ","0.74","0.778","0.357"," 237/258 ","8.33","0","0.033","0.212","12.82","Q4","14","100"%,"13.9","18.4","14",
"CANDOLLEA","CANDOLLEA","0373-2967","N/A","PLANT SCIENCES - SCIE","345","0.625","Q4","0.18","0"%," 218/238 ","0.486","0.563","0.2"," 229/258 ","11.43","0","0.041","0.145","8.61","Q4","25","100"%,"20.2","28.3","25",
"ADANSONIA","ADANSONIA","1280-8571","1639-4798","PLANT SCIENCES - SCIE","325","0.545","Q4","0.15","98.31"%," 222/238 ","0.55","0.455","0.385"," 243/258 ","6.01","0","0.028","0.17","6.93","Q4","26","96.15"%,"17.5","22.2","25",
"TUEXENIA","TUEXENIA","0722-494X","0722-494X","PLANT SCIENCES - SCIE","302","1.022","Q4","0.3","0"%," 194/238 ","1.175","0.511","0.524"," 194/258 ","25","0","0.035","0.15","18.7","Q4","21","100"%,"6.2","10.7","21",
"Phytopathology Research","PHYTOPATHOL RES","2096-5362","2524-4167","PLANT SCIENCES - SCIE","275","3.955","Q1","0.65","100"%," 54/238 ","3.955","3.955","0.429"," 108/258 ","58.33","0.001","0.109","0.811","77.52","Q1","28","89.29"%,"2.1","8.6","25",
"Bangladesh Journal of Plant Taxonomy","BANGL J PLANT TAXON","1028-2092","2224-7297","PLANT SCIENCES - SCIE","258","0.662","Q4","0.17","80.58"%," 217/238 ","0.561","0.426","0.2"," 233/258 ","9.88","0","0.024","0.076","9.03","Q4","35","97.14"%,"7.9","14.4","34",
"Bradleya","BRADLEYA","0265-086X","0265-086X","PLANT SCIENCES - SCIE","255","1.054","Q4","0.38","0"%," 192/238 ","0.984","0.875","0.464"," 169/258 ","34.69","0","0.073","0.285","19.54","Q3","28","100"%,"4.9","19.1","28",
"TELOPEA","TELOPEA","0312-9764","2200-4025","PLANT SCIENCES - SCIE","249","0.511","Q4","0.15","96.88"%," 224/238 ","0.328","0.34","0.588"," 243/258 ","6.01","0","0.021","0.083","6.09","Q4","17","88.24"%,"14.5","21.4","15",
"Acta Phytotaxonomica et Geobotanica","ACTA PHYTOTAX GEOBOT","1346-7565","2189-7042","PLANT SCIENCES - SCIE","231","0.395","Q4","0.17","0"%," 230/238 ","0.396","0.256","0.32"," 233/258 ","9.88","0","0.017","0.079","3.57","Q4","25","100"%,"17","15.1","25",
"IHERINGIA SERIE BOTANICA","IHERINGIA SER BOT","N/A","2446-8231","PLANT SCIENCES - SCIE","213","0.314","Q4","0.08","100"%," 236/238 ","0.544","0.286","0.143"," 255/258 ","1.36","0","0.035","0.117","1.05","Q4","14","100"%,"8","14.4","14",
"Wulfenia","WULFENIA","1561-882X","1561-882X","PLANT SCIENCES - SCIE","209","0.686","Q4","0.16","0"%," 214/238 ","0.796","0.6","0"," 237/258 ","8.33","0","0.027","0.137","10.29","Q4","20","100"%,"6.7","19.7","20",
"Botanica Serbica","BOT SERB","1821-2158","1821-2638","PLANT SCIENCES - SCIE","193","0.574","Q4","0.14","100"%," 221/238 ","N/A","0.489","0.143"," 247/258 ","4.46","0","0.028","N/A","7.35","N/A","35","97.14"%,"6.7","12.3","34",
"PHYTOPROTECTION","PHYTOPROTECTION","0031-9511","1710-1603","PLANT SCIENCES - SCIE","175","0.364","Q4","0.09","0"%," 231/238 ","0.52","0.364","N/A"," 253/258 ","2.13","0","0.004","0.072","3.15","Q4","N/A","N/A","20.5","N/A","N/A",
"HASELTONIA","HASELTONIA","1070-0048","1938-2898","PLANT SCIENCES - SCIE","174","1.6","Q3","0.24","0"%," 151/238 ","1.076","1.3","0"," 215/258 ","16.86","0","0.049","0.368","36.76","Q3","11","81.82"%,"7.7","16.5","9",
"Annali di Botanica","ANN BOT-COENOL PLANT","0365-0812","2239-3129","PLANT SCIENCES - SCIE","166","1.722","Q3","0.37","0"%," 145/238 ","1.186","1.667","0.286"," 175/258 ","32.36","0","0.016","0.184","39.29","Q4","14","100"%,"8.2","13.5","14",
"Zeitschrift fur Arznei- & Gewurzpflanzen","Z ARZNEI- GEWURZPFLA","1431-9292","N/A","PLANT SCIENCES - SCIE","85","0.262","Q4","0.06","0"%," 237/238 ","0.314","0.246","0"," 257/258 ","0.58","0","0.013","0.046","0.63","Q4","18","100"%,"N/A","14.1","18",
"Mediterranean Botany","MEDITERR BOT","2603-9109","2603-9109","PLANT SCIENCES - SCIE","77","1.111","Q4","0.3","66.67"%," 187/238 ","1.132","1.028","0.593"," 194/258 ","25","0","0.02","0.188","21.64","Q4","27","96.3"%,"N/A","11.1","26",
"Gorteria","GORTERIA","0017-2294","0017-2294","PLANT SCIENCES - SCIE","47","0.333","Q4","0.09","0"%," 234/238 ","0.391","0.267","0.182"," 253/258 ","2.13","0","0.004","0.048","1.89","Q4","11","100"%,"N/A","15.2","11",
"Advances in Weed Science","ADV WEED SCI","2675-9462","2675-9462","PLANT SCIENCES - SCIE","10","N/A","N/A","N/A","0"%," N/A ","N/A","N/A","0.476"," N/A ","N/A","0","0","N/A","N/A","N/A","21","100"%,"N/A","9.8","21",

Copyright (c) 2022 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
